"Number","Category","Severity","File_Location","Issue_Title","Description","Evidence","Impact","Fix"
"43","Code Quality","MEDIUM","code1/f01_generate_key_pairs.py:116","key_id derived from public key hash but not used for keystore lookup","""The key_id is generated as the first 8 chars of SHA-256 of the public key PEM (line 116). However"," in secureKeyStorage"," if key_id is None"," a different key_id is generated from salt and IV (line 154). This means the key_id from generateKeyPairs is never actually used for keystore identification."",""Code: `key_id = hashlib.sha256(public_pem).hexdigest()[:8]` (line 116) vs `key_id = hashlib_sha256_sandwich(salt, iv)` (line 154)."",""The key_id is inconsistent between generation and storage, making it impossible to correlate a public key with its keystore. This is a design flaw that complicates key management."",""Use the same key_id derivation in both places. Pass the key_id from generateKeyPairs to secureKeyStorage and use it consistently."
"44","Code Quality","MEDIUM","code1/f02_encrypt_file.py:116","Auth tag extracted from ciphertext incorrectly","""The code extracts the auth tag as the last 16 bytes of the ciphertext returned by `aesgcm.encrypt()`. However"," the `cryptography` library's AESGCM.encrypt() already includes the tag appended to the ciphertext. The tag is then also stored separately in the header. This means the tag is stored twice — once in the header and once appended to the ciphertext.""","""Code: `ciphertext = aesgcm.encrypt(iv"," plaintext, associated_data=None)` then `auth_tag = ciphertext[-16:]` (line 116). The header includes `auth_tag` (line 130) AND the full `ciphertext` (which includes the tag) is written (line 141)."",""The auth tag is duplicated in the file format, wasting 16 bytes. More importantly, during decryption, the code passes the full ciphertext (including tag) to AESGCM.decrypt(), which expects the tag to be at the end. This works but is confusing and wasteful."",""Either store the tag only in the header and strip it from the ciphertext before writing, or store it only appended to the ciphertext (not in the header). The current approach is redundant."
"45","Code Quality","MEDIUM","code1/f03_decrypt_file.py:148","Size check happens after parsing header fields","""The check `if len(file_content) < HEADER_SIZE` (line 148) happens AFTER the code has already parsed all header fields (lines 121-142). If the file is smaller than 77 bytes"," the slicing operations will still work (returning shorter bytes) but the parsed values will be garbage.""","""Code: Header parsing on lines 121-142"," then size check on line 148."",""If a truncated file is passed, the code will parse garbage values for IV, auth_tag, hash_pre, and original_size before checking the size. This could lead to confusing error messages or unexpected behavior."",""Move the size check to before header parsing: `if len(file_content) < HEADER_SIZE: raise ValueError(...)` should be the first check after reading the file."
"46","Code Quality","MEDIUM","code2/f09_authenticate_user.py:60","Lockout backoff uses datetime.now() without timezone","""The lockout calculation uses `datetime.now()` which returns a naive datetime. This can cause issues if the system timezone changes or if the database is moved between systems in different timezones.""","""Code: `return (datetime.now() + timedelta(seconds=backoff_seconds)).isoformat()` (line 61). Same pattern on line 148"," 180"," 251."",""If the system clock changes (e.g., DST transition, manual adjustment), the lockout period could be shorter or longer than intended. A malicious user could manipulate the system clock to bypass lockouts."",""Use `datetime.now(timezone.utc)` for all time-based operations. Store timestamps in UTC and convert to local time only for display."
"47","Code Quality","MEDIUM","code2/f12_emergency_lock.py:64","Global last_activity variable is not thread-safe","""The `last_activity` variable is a global that is read and written from multiple threads (the idle monitor thread and the main UI thread via resetIdleTimer). There is no synchronization.""","""Code: `last_activity = time.time()` (line 64)"," read in idleMonitor (line 203)"," written in resetIdleTimer (line 235)."",""Race condition: the idle timer may not accurately reflect user activity, causing premature or delayed lockouts. In the worst case, a data race could cause the timer to never trigger."",""Use a threading.Lock or threading.Event to protect last_activity. Or use an atomic operation."
"48","Code Quality","MEDIUM","code3/f14_ui_dashboard.py:161","dropEvent accepts any file without validation","""The DragDropZone accepts any dropped file without validating its type"," size"," or accessibility. A user could drop a 100GB file or a symlink to a sensitive system file.""","""Code: `p = urls[0].toLocalFile()` then `self.file_dropped.emit(p)` (lines 163-167). No validation of the file path or size."",""Dropping a symlink to /etc/passwd or a massive file could cause the application to attempt to encrypt system files or exhaust memory. No path validation is performed."",""Validate the dropped file: check it's a regular file (not a symlink), check its size is reasonable, and verify it's within an allowed directory before processing."
"49","Code Quality","MEDIUM","code3/f16_cloud_sync.py:30","OAuth scope is drive.file which still allows significant access","""The OAuth scope `https://www.googleapis.com/auth/drive.file` limits access to files created or opened by the app. However"," this still allows the app to list"," read"," and modify any file it has previously created or opened. If the OAuth token is compromised, the attacker can access all SFFS backup files."",""Code: `SCOPES = [""""https://www.googleapis.com/auth/drive.file""""]` (line 30)."",""Compromised OAuth token allows access to all SFFS backup files on Google Drive, including encrypted key material."",""Consider using a more restrictive scope if possible. Implement token rotation and short-lived access tokens. Monitor for unusual access patterns."
"50","Code Quality","MEDIUM","code1/f06_secure_key_storage.py:304-311","unwrapAESKey parses JSON from raw bytes without size limit","""The unwrapAESKey function checks if the encrypted_aes_key blob starts with `{` and then parses it as JSON. There is no size limit on the blob"," allowing a potential DoS via extremely large JSON payloads.""","""Code: `blob = encrypted_aes_key.lstrip()` then `if blob.startswith(b""""{""""): env = json.loads(encrypted_aes_key.decode(""""utf-8""""))` (lines 304-306).""","""An attacker could provide a multi-gigabyte blob starting with `{` causing json.loads to consume excessive memory and CPU, resulting in a denial of service."",""Add a size limit before parsing JSON: `if len(encrypted_aes_key) > MAX_WRAP_SIZE: raise ValueError(...)`. A reasonable limit would be 64KB."
"51","Code Quality","MEDIUM","code2/f11_write_audit_log.py:109-129","_encryptFile reads entire database into memory","""The _encryptFile method reads the entire SQLite database file into memory with `data = f.read()` (line 120)"," then encrypts it with ECB mode. For large audit logs"," this causes memory exhaustion.""","""Code: `with open(db_file, 'rb') as f: data = f.read()` (line 120)."",""Large audit log databases cause memory exhaustion during encryption. Combined with ECB mode (issue #2), this is doubly problematic."",""Use streaming encryption or encrypt individual entries. Remove ECB mode entirely."
"52","Code Quality","MEDIUM","main-code/sffs_core.py:230-231","Encrypted file output path uses input file's directory","""The encryptFileOperation writes the .sffs file to the same directory as the input file: `out_sffs = input_path.with_suffix("""".sffs"""")` (line 233). This means encrypted files are scattered across the filesystem rather than stored in a controlled location.""","""Code: `out_sffs = input_path.with_suffix("""".sffs"""")` (line 233).""","""Encrypted files and their wrap files are stored next to the originals"," making it easy for an attacker to correlate encrypted and plaintext files. The original plaintext file is also not securely deleted after encryption."",""Store encrypted files in a dedicated directory (e.g., sffs_data/encrypted/). After successful encryption, securely wipe the original plaintext file (or at least offer the option)."
"53","Code Quality","MEDIUM","code3/f17_config_loader.py:98-105","_read_current tries encrypted then plain without atomicity","""The _read_current function tries to read the encrypted config first"," then falls back to plain JSON. If the encrypted file exists but the key is wrong"," it raises an exception instead of falling back to plain JSON.""","""Code: `if encryption_key and enc_path.exists(): raw = json.loads(enc_path.read_text(...)); data = _decrypt_blob(raw, encryption_key)` (lines 99-101). If _decrypt_blob fails (wrong key), the exception propagates."",""If the encryption key changes (e.g., user changes password) but the encrypted config file still exists, the system cannot fall back to the plain config. The user is locked out of their configuration."",""Catch decryption errors and fall back to plain JSON. Or migrate the config to the new key automatically. Or store the config version/key fingerprint to detect key mismatches."
"54","Code Quality","MEDIUM","code2/f10_monitor_process.py:114-118","proc.exe() called without AccessDenied handling for all processes","""The checkSuspiciousProcesses function iterates over all running processes and calls proc.exe() for each on Windows. This raises AccessDenied for protected system processes"," and while it's caught in the outer except"," the iteration continues inefficiently.""","""Code: `exe_path = proc.exe()` (line 115) inside a try/except that catches `psutil.AccessDenied` (line 119)."",""Calling proc.exe() on every process is slow and generates many AccessDenied exceptions on Windows. This makes the process check take several seconds, during which the UI may freeze."",""Filter processes before calling proc.exe(). Only check processes that match the suspicious names first, then call exe() only on matches."
"55","Code Quality","MEDIUM","code1/f04_generate_hash.py:89-93","Hash function instantiated inside conditional branch","""The hash function is instantiated inside an if/elif/else block"," creating a new hash object for each algorithm. This is correct but verbose. More importantly"," the algorithm validation happens before the type check"," meaning a valid algorithm with an invalid target type raises ValueError instead of TypeError."",""Code: Algorithm validation on lines 64-69, then type check on line 72. If target is neither Path nor bytes, the algorithm validation runs first."",""Incorrect error priority: passing an invalid target type with an invalid algorithm raises ValueError (algorithm) instead of TypeError (target). This makes debugging harder."",""Validate the target type before validating the algorithm. Or use a dispatch dictionary: `hashers = {""""sha256"""": sha256, """"sha512"""": sha512, """"blake2b"""": blake2b}`."
"56","Code Quality","MEDIUM","code3/f13_init_drive_detection.py:62-66","Partition detection uses string prefix matching which is fragile","""The _partition_for_path function matches paths against partition mountpoints using string prefix matching (`str(p).upper().startswith(part.mountpoint.upper())`). This can produce false positives (e.g."," `C:\Users` matches `C:\Useless`).""","""Code: `if str(p).upper().startswith(part.mountpoint.upper())` (line 62). Same pattern on line 72 for Linux.""","""Incorrect partition detection could cause the system to identify the wrong drive as the USB root, leading to data being written to the wrong location."",""Use proper path comparison: check that the path starts with the mountpoint followed by a path separator (or is exactly the mountpoint). On Windows, also compare drive letters."
"57","Testing","MEDIUM","tests/test_student1.py","Missing negative test for encrypt with wrong key size","""There is no test that verifies encryptFile raises ValueError when given a key that is not 32 bytes. The validation exists in the code (line 91-95 of f02) but is untested.""","""No test case: `encryptFile(path"," token_bytes(16)"," out)` should raise ValueError."",""If the key size validation is accidentally removed or broken, no test will catch it."",""Add a test: `with pytest.raises(ValueError): encryptFile(f, token_bytes(16), out)`."
"58","Testing","MEDIUM","tests/test_student1.py","Missing test for decrypt with tampered IV","""There is no test that verifies decryption fails when the IV in the SFFS header is tampered. The GCM auth tag should catch this"," but it is not explicitly tested.""","""No test case that modifies the IV bytes in the header and verifies SecurityError is raised.""","""If the IV tampering detection is broken, tampered files could decrypt to garbage without raising an error."",""Add a test that modifies bytes 5-20 (the IV) in the .sffs file and verifies SecurityError is raised."
"59","Testing","MEDIUM","tests/test_student2.py","Missing test for session token expiration","""There is no test that verifies session tokens expire after the configured timeout (24 hours). The validateSession function checks expires_at but this is not tested.""","""No test case that creates a session"," advances time past expiration"," and verifies validateSession returns False."",""Expired sessions remain valid if the expiration check is broken, allowing indefinite access with a stolen token."",""Add a test using monkeypatch to mock datetime.now() and verify expired sessions are rejected."
"60","Testing","MEDIUM","tests/test_student2.py","Missing test for audit log encryption","""There is no test that verifies the AuditLogger encryption functionality. All tests use `encryption_key=None`.""","""No test case that creates an AuditLogger with an encryption_key and verifies the database is encrypted.""","""If the encryption code path is broken (e.g."," ECB mode issue #2), no test will catch it."",""Add a test that creates an AuditLogger with encryption_key=token_bytes(32), writes a log entry, and verifies the database file is not plaintext SQLite."
"61","Testing","MEDIUM","tests/test_student3.py","Missing test for config validation function","""The validateConfig function in f17_config_loader.py is not tested. There is no test that verifies it correctly identifies invalid configurations.""","""No test case calling validateConfig with invalid configs (e.g."," wrong theme"," negative timeout)."",""Invalid configurations could pass through undetected, causing runtime errors or security misconfigurations."",""Add tests for validateConfig with valid and invalid inputs."
"62","Testing","MEDIUM","tests/","No test coverage for mouse_entropy.py","""The mouse_entropy.py module has no tests. The session_random_bytes function is critical for AES key generation but is untested.""","""No test file covers mouse_entropy.py. The module is imported in sffs_core.py and main.py but never tested.""","""If the entropy mixing is broken (e.g."," produces predictable output), all AES keys would be weak. No test would catch this."",""Add tests for session_random_bytes: verify output length, verify randomness (statistical tests), verify that different mouse pools produce different outputs."
"63","Testing","MEDIUM","tests/","No test coverage for sandbox_viewer.py","""The sandbox_viewer.py module has no tests. The file preview and external viewer launching logic is untested.""","""No test file covers sandbox_viewer.py.""","""Bugs in the sandbox viewer could allow opening files outside the sandbox or crashing the application.""","""Add tests for _decode_text_preview, _is_within policy checks, and the viewer launch flow."
"64","Testing","MEDIUM","tests/","No test coverage for reset_sffs_data.py","""The reset_sffs_data.py script has no tests. This is a destructive utility that deletes key material and user data.""","""No test file covers reset_sffs_data.py.""","""A bug in the reset script could delete the wrong files or fail to delete sensitive data"," leaving traces on disk."",""Add tests that verify the script deletes only the specified files and directories."
"65","Testing","MEDIUM","tests/","No test coverage for sffs_usb_setup.py","""The USB setup helper has no tests. The verify() function checks for file existence but this logic is untested.""","""No test file covers sffs_usb_setup.py.""","""The verification could give false positives or negatives"," misleading users about their installation status."",""Add tests for the verify() function with missing and present files."
"66","Testing","MEDIUM","tests/","No integration test for full encrypt-decrypt round-trip via SFFSCore","""There is no test that exercises the full SFFSCore encryptFileOperation → decryptFileOperation flow through the worker process. Individual modules are tested but not the integrated pipeline.""","""No test creates an SFFSCore"," logs in"," encrypts a file, decrypts it, and verifies the output matches the original."",""Integration bugs (e.g., worker IPC failures, key wrapping/unwrapping mismatches, sandbox path issues) would not be caught."",""Add an integration test that exercises the full pipeline: initialize → register → login → encrypt → decrypt → verify → logout."
"67","Testing","MEDIUM","tests/","No test for emergency lock under USB removal scenario","""There is no test that simulates USB removal and verifies the emergency lock is triggered correctly. The monitorUSBPresence callback is not tested.""","""No test that calls monitorUSBPresence"," simulates usb_root no longer existing"," and verifies emergencyLock is called."",""If the USB removal detection fails, the system will not lock when the USB is pulled, leaving decrypted files exposed."",""Add a test using a mock path that is deleted during the test, verifying the callback is invoked."
"68","Testing","MEDIUM","tests/","No test for concurrent access to audit logger","""There is no test that verifies the AuditLogger handles concurrent writes correctly. The threading.Lock is used but not tested under contention.""","""No test that spawns multiple threads writing to the same AuditLogger simultaneously.""","""Race conditions in the audit logger could cause lost log entries or database corruption under concurrent access.""","""Add a test that spawns 10+ threads writing to the same AuditLogger and verifies all entries are present."
"69","Documentation","MEDIUM","docs/SECURITY_MODEL.md","Security model claims AES-256-GCM provides integrity but stores redundant plaintext hash","""The security model states integrity is provided by 'GCM + hash pre/post comparison' (line 25). However"," the plaintext hash stored in the header (issue #1) is not needed for integrity — GCM already provides it. The documentation incorrectly implies both are necessary for integrity.""","""Docs: 'Integrity: GCM + hash pre/post comparison' (SECURITY_MODEL.md line 25).""","""Developers may believe the plaintext hash is a security feature when it is actually a vulnerability. The documentation reinforces the flawed design."",""Update the documentation to clarify that GCM provides integrity and the plaintext hash is a legacy feature that should be removed or replaced with a keyed HMAC."
"70","Documentation","MEDIUM","docs/SECURITY_MODEL.md","Security model does not mention ECB mode vulnerability in audit log","""The security model lists 'Auditability: Append-style audit rows with per-entry hashes' but does not mention that the audit log encryption uses AES-ECB"," which is cryptographically broken.""","""Docs: SECURITY_MODEL.md section 3 lists auditability but does not mention the ECB mode issue in f11.""","""Users and reviewers are misled about the security of the audit log. The audit log encryption provides less protection than claimed."",""Update the security model to accurately describe the audit log encryption mechanism and its limitations. Fix the ECB mode issue."
"71","Documentation","MEDIUM","docs/ARCHITECTURE.md","Architecture doc claims decrypt happens in worker but core also has direct decrypt path","""The architecture documentation states that decryption happens via the isolated worker (section 5). However"," the code also has a direct decrypt path that could be used without the worker. The documentation does not clarify when each path is used.""","""Docs: 'spawns main-code/isolated_worker.py with strict worker policy' (ARCHITECTURE.md line 49).""","""Developers may assume all decryption goes through the worker when it might not. Direct decryption bypasses the worker's policy checks."",""Clarify in the documentation whether direct decryption is possible and under what circumstances. If the worker is mandatory, enforce it in code."
"72","Documentation","MEDIUM","docs/USB_INSTALLATION.md","USB installation guide does not mention USB encryption requirement","""The USB installation guide recommends copying SFFS to a USB stick but does not recommend encrypting the USB itself (e.g."," with BitLocker or VeraCrypt). The entire security model assumes the USB is physically secure.""","""Docs: USB_INSTALLATION.md Part 2 — 'Copy the entire SFFS project folder onto the USB drive'.""","""If the USB is lost or stolen, the attacker has access to the public key, keystore (password-protected but vulnerable to offline attack), config files, and any unencrypted data."",""Recommend full-disk encryption for the USB stick as a prerequisite. Document that SFFS provides file-level encryption but the USB itself should also be encrypted."
"73","Documentation","MEDIUM","docs/API_REFERENCE.md","API reference does not document security implications of each function","""The API reference lists function signatures and return types but does not document security properties (e.g."," which functions handle sensitive data"," which require an active session"," which are side-effect free)."",""Docs: API_REFERENCE.md lists all F-01 through F-18 functions with signatures but no security annotations."",""Developers may call security-sensitive functions without understanding their requirements (e.g., calling encryptFileOperation without an active session)."",""Add security annotations to the API reference: required session, sensitive data handling, side effects, and error conditions."
"74","Documentation","MEDIUM","code1/f06_secure_key_storage.py:16-21","Docstring claims private key is never stored on disk but keystore file contains encrypted private key","""The module docstring states 'The PRIVATE KEY must NEVER be stored in plain text on disk' (line 17) but the secureKeyStorage function writes the encrypted private key to a JSON file. While encrypted"," this is still 'storing the private key on disk' — just in encrypted form.""","""Docs: 'The PRIVATE KEY must NEVER be stored in plain text on disk' (line 17). Code: `keystore_path.write_text(json.dumps(keystore"," indent=2))` (line 174)."",""The documentation is misleading. Developers may believe the private key is only in memory when it is actually persisted to disk (encrypted)."",""Update the docstring to accurately reflect that the private key is stored encrypted on disk in a keystore file."
"75","Documentation","MEDIUM","code1/f02_encrypt_file.py:35","File format documentation claims 77-byte header but actual format differs","""The docstring claims 'Total header = 77 bytes before ciphertext' (line 35) but the auth tag is both stored in the header AND appended to the ciphertext by AESGCM.encrypt(). The actual file is 77 bytes + ciphertext_length + 16 bytes (tag appended by cryptography library).""","""Docs: 'Total header = 77 bytes before ciphertext' (line 35). Code: ciphertext from AESGCM.encrypt() includes the 16-byte tag"," and the header also contains auth_tag.""","""The file format documentation is incorrect. Implementers relying on the 77-byte header calculation will misparse the file."",""Update the file format documentation to accurately describe the layout: header (77 bytes) + ciphertext_with_tag (N+16 bytes)."
"76","Documentation","LOW","code1/f01_generate_key_pairs.py:12","Docstring claims 'Current best attacks can only break 1024-bit RSA' is outdated","""The docstring states 'Current best attacks can only break 1024-bit RSA' (line 12). While technically true for classical computers"," this is misleading in the context of quantum computing. Shor's algorithm can break RSA of any size on a sufficiently large quantum computer.""","""Docs: 'Current best attacks can only break 1024-bit RSA"," making 2048-bit secure for now' (line 12-13)."",""Developers may believe RSA-2048 is secure indefinitely when it is vulnerable to future quantum attacks. For a security-focused project, this should be acknowledged."",""Add a note about quantum vulnerability and recommend considering post-quantum alternatives for long-term security."
"77","Documentation","LOW","code2/f08_secure_memory_wipe.py:16-23","Docstring overclaims DOD 5220.22-M compliance","""The docstring claims DOD 5220.22-M 3-pass overwrite compliance. However"," the actual implementation does not flush file buffers after each pass"," meaning the OS may reorder writes. Additionally"," on SSDs with wear leveling, the overwrite does not affect the original physical sectors."",""Docs: 'The DOD 5220.22-M standard requires overwriting data with three passes' (line 16-17)."",""The documentation overstates the security guarantees. Users may believe data is securely erased when it is not (especially on SSDs)."",""Add a disclaimer that DOD 5220.22-M compliance is not guaranteed on modern filesystems and SSDs. Document the limitations clearly."
"78","Operational","MEDIUM","main-code/setup.py:24-26","Entry point references invalid module path","""The setup.py entry point references `main-code.main:main` but Python module names cannot contain hyphens. The entry point will not work.""","""Code: `""""sffs=main-code.main:main""""` (line 25).""","""The `pip install -e .` installation will succeed but the `sffs` command will fail with a module import error. The application cannot be launched via the installed entry point.""","""Change the entry point to use a valid Python module name. Either rename `main-code` to `main_code` or use a script-based entry point."
"79","Operational","MEDIUM","sffs.bat:31","Windows launcher runs windows_job_wrapper.py which spawns child process","""The sffs.bat launcher runs `windows_job_wrapper.py` which creates a Job Object and spawns main.py as a child process. However"," the `pause` command at the end of sffs.bat runs after the wrapper exits"," which means it pauses in the parent shell"," not the child."",""Code: `""""%PYTHON%"""" code2\windows_job_wrapper.py %*` (line 31), then `pause` (line 32)."",""The pause command is misleading — it appears after the application has already exited. Users may think the application is still running."",""Move the pause into the wrapper or remove it. Or restructure the launcher to run main.py directly with job assignment."
"80","Operational","MEDIUM","code2/f11_write_audit_log.py:69","SQLite connection timeout of 30 seconds may cause long UI freezes","""The AuditLogger opens SQLite connections with a 30-second timeout (`timeout=30`). If the database is locked by another process"," the UI will freeze for up to 30 seconds waiting for the lock.""","""Code: `sqlite3.connect(str(self.db_path)"," timeout=30)` (line 69). Same pattern on lines 150, 167."",""The UI becomes unresponsive for up to 30 seconds if the audit database is locked. This is a poor user experience and could make the application appear crashed."",""Reduce the timeout to 5 seconds and handle timeout errors gracefully. Or use WAL mode to reduce lock contention."
"81","Operational","MEDIUM","code3/f13_init_drive_detection.py:114-120","Warning about non-removable volume uses stacklevel=2 which may be incorrect","""The warning about non-removable volume uses `stacklevel=2` (line 119). Depending on how initDriveDetection is called"," this may point to the wrong line in the stack trace.""","""Code: `warnings.warn(""""SFFS is not running from a removable volume..."""""," UserWarning, stacklevel=2)` (lines 115-119)."",""Developers debugging the warning may be directed to the wrong source line, making it harder to identify the issue."",""Verify the stacklevel is correct for all call sites. Or use stacklevel=1 and let the warning point to the initDriveDetection call."
"82","Operational","MEDIUM","code2/f12_emergency_lock.py:136-142","Emergency lock writes to global singleton logger which may not be initialized","""The emergencyLock function calls writeAuditLog which uses the global singleton logger (_getLogger). If SFFSCore has not initialized this logger"," the audit entry goes to the hardcoded default path instead of the correct USB location.""","""Code: `writeAuditLog(f""""EMERGENCY LOCK: ..."""""," level=""""CRITICAL"""")` (lines 136-141). writeAuditLog uses _getLogger which defaults to `./code2/test_output/audit.db`."",""Critical emergency lock events may be logged to the wrong location, making forensic analysis impossible after an incident."",""Pass the logger instance to emergencyLock or use the SFFSCore.logger directly. Do not rely on the global singleton."
"83","Operational","MEDIUM","code1/f06_secure_key_storage.py:144","Memory wipe via reassignment is ineffective in Python","""The code attempts to wipe the private key from memory by setting `private_key_bytes = None` (line 144). In Python"," this only removes the local reference — the original bytes object remains in memory until garbage collection.""","""Code: `private_key_bytes = None  # Wipe from memory` (line 144).""","""The private key bytes remain in Python's memory heap until the garbage collector runs. An attacker with memory access can still extract the key."",""Use ctypes to overwrite the memory of the bytes object before setting it to None. Or use a mutable bytearray and wipe it with secureMemoryWipe."
"84","Operational","MEDIUM","main-code/sffs_core.py:164","Login copies password bytearray but original is not wiped by caller","""In the login method"," the password is copied with `self._session_password = bytearray(password)` (line 164). The caller's original password bytearray is then wiped with secureMemoryWipe(password) (line 165). However"," the copy in _session_password persists for the entire session.""","""Code: `self._session_password = bytearray(password)` then `secureMemoryWipe(password)` (lines 164-165)."",""The session password copy persists in memory for the entire session duration. If the process is memory-dumped, the password can be extracted."",""Consider deriving the necessary key material at login time and storing only the derived key, not the password itself. Or re-derive from user input on each operation that needs it."
"85","Operational","MEDIUM","code2/f09_authenticate_user.py:331-332","Demo code uses shutil.rmtree to delete test directory containing database","""The demo code deletes the test directory with `shutil.rmtree(test_dir)` (line 321"," 356). This is fine for test cleanup but the pattern of using rmtree on directories containing sensitive data is problematic — rmtree does not securely wipe files.""","""Code: `shutil.rmtree(test_dir)` (line 321). Same on line 356.""","""If this pattern is copied for production cleanup, sensitive data (password hashes, session tokens) would be recoverable from disk."",""Use secureWipeDirectory before rmtree for directories containing sensitive data. Or use the OS's secure delete functionality."
"86","Operational","MEDIUM","code3/f14_ui_dashboard.py:418","QApplication created with sys.argv which may leak command-line arguments","""The uiDashboard function creates QApplication with `QApplication(sys.argv)` (line 418). On some platforms"," QApplication processes command-line arguments"," which may include sensitive information if the application was started with password-related arguments.""","""Code: `app = QApplication.instance() or QApplication(sys.argv)` (line 418)."",""If the application is started with sensitive command-line arguments, QApplication may process or log them."",""Pass an empty list to QApplication if command-line arguments have already been processed: `QApplication([])`."
"87","Operational","MEDIUM","code2/f07_create_isolated_sandbox.py:106-108","Sandbox lock file contains session_id in plaintext","""The sandbox.lock file contains the session_id and creation timestamp in plaintext: `session_id={session_id}\ncreated={created_time}\n` (line 107). While the session_id is not a secret"," this file provides an oracle for active sessions.""","""Code: `lock_content = f""""session_id={session_id}\ncreated={created_time}\n""""` then `lock_file.write_text(lock_content)` (lines 107-108).""","""An attacker can identify active sessions by reading sandbox.lock files. Combined with other information, this could aid in targeting attacks."",""Consider storing the lock file content in a less structured format, or add a MAC to prevent tampering. At minimum, ensure the lock file is within the sandbox directory with proper permissions."
"88","Operational","MEDIUM","code3/f16_cloud_sync.py:136","Cloud upload uses resumable upload without progress callback","""The cloud upload uses `MediaFileUpload(str(lp)"," resumable=True)` (line 136) but does not provide a progress callback. For large files"," the upload may appear to hang.""","""Code: `media = MediaFileUpload(str(lp), resumable=True)` (line 136)."",""Users uploading large files to Google Drive have no feedback on progress. The application appears frozen during upload."",""Add a progress callback to MediaFileUpload and wire it to the UI progress bar."
"89","Operational","MEDIUM","code2/f11_write_audit_log.py:45-49","Log level constants defined as module-level strings","""The log level constants (DEBUG"," INFO"," WARN"," ERROR, CRITICAL) are defined as module-level strings. This is fine but inconsistent with Python's logging module which uses integer levels."",""Code: `DEBUG = """"DEBUG""""`, `INFO = """"INFO""""`, etc. (lines 45-49)."",""Inconsistent with Python's standard logging module, making it harder to integrate with existing logging infrastructure."",""Consider using Python's logging module levels or at least document the custom level system clearly."
"90","Operational","LOW","code1/f01_generate_key_pairs.py:119","datetime.now() used without timezone for key generation timestamp","""The key generation timestamp uses `datetime.datetime.now().isoformat()` (line 119) which produces a naive datetime without timezone information.""","""Code: `generated_at = datetime.datetime.now().isoformat()` (line 119).""","""If keys are generated on systems in different timezones"," the timestamps cannot be reliably compared or sorted."",""Use `datetime.datetime.now(datetime.timezone.utc).isoformat()` for consistent UTC timestamps."
"91","Operational","LOW","code2/f09_authenticate_user.py:148","created_at timestamp uses naive datetime","""The user creation timestamp uses `datetime.now().isoformat()` (line 148) without timezone.""","""Code: `datetime.now().isoformat()` (line 148). Same pattern on lines 180"," 251.""","""Timezone inconsistency across systems."",""Use UTC timestamps consistently."
"92","Operational","LOW","code2/f11_write_audit_log.py:148","Timestamp in log entries uses naive datetime","""The audit log timestamp uses `datetime.now().isoformat()` (line 148) without timezone.""","""Code: `timestamp = datetime.now().isoformat()` (line 148).""","""Log timestamps cannot be reliably correlated across systems in different timezones.""","""Use UTC timestamps."
"93","Operational","LOW","code3/f17_config_loader.py:109","last_updated timestamp uses naive datetime","""The config last_updated field uses `datetime.now().isoformat()` (line 109) without timezone.""","""Code: `cfg[""""last_updated""""] = datetime.now().isoformat()` (line 109).""","""Timezone inconsistency.""","""Use UTC timestamps."
"94","Code Quality","LOW","code1/f06_secure_key_storage.py:183","hashlib imported after function definition","""The hashlib import appears on line 183"," after the secureKeyStorage function which uses hashlib_sha256_sandwich (line 154). While Python allows this"," it is unconventional and makes the code harder to read.""","""Code: `import hashlib` on line 183, but hashlib_sha256_sandwich uses hashlib on line 189."",""Unconventional import placement may confuse readers and static analysis tools."",""Move the hashlib import to the top of the file with other imports."
"95","Code Quality","LOW","code2/f12_emergency_lock.py:49-57","Duplicate imports of signal"," threading"," time"," pathlib"," os, sys,""The module imports signal, threading, time, pathlib, os, and sys twice — once at the top (lines 36-41) and again after the sibling imports (lines 53-60)."",""Code: `import signal` (line 36), `import signal` (line 53). Same for threading, time, pathlib, os, sys."",""Duplicate imports are unnecessary and indicate sloppy code organization."",""Remove the duplicate imports. Keep all standard library imports at the top of the file."
"96","Code Quality","LOW","code2/f07_create_isolated_sandbox.py:36-42","Duplicate imports of pathlib"," stat"," platform"," time","""The module imports Path from pathlib, stat, platform, and time twice — once at the top (line 26-31) and again with WHY comments (lines 36-42)."",""Code: `from pathlib import Path` (line 36) duplicates `from pathlib import Path` (line 33). Same for stat, platform, time."",""Duplicate imports are unnecessary."",""Remove the duplicate imports."
"97","Code Quality","LOW","code1/f06_secure_key_storage.py:158","Keystore version string is conditional on KDF name","""The keystore version is set to """"2.0"""" for Argon2id and """"1.0"""" for PBKDF2. This means the version number encodes the KDF choice rather than the format version. If a new KDF is added"," the versioning scheme breaks.""","""Code: `""""version"""": """"2.0"""" if kdf_name == """"ARGON2ID"""" else """"1.0""""` (line 158).""","""Version numbers become meaningless as more KDFs are added. A """"3.0"""" version could mean anything."",""Use a separate field for KDF name and a proper format version number. E.g., `""""format_version"""": """"1.0"""", """"kdf"""": """"ARGON2ID""""`."
